Schwellenwert,Precision,Recall,F1,Alarme (TP+FP),Uebersehene Churner (FN),Kosten FN (CHF),Kosten FP (CHF),Gesamtkosten (CHF)
0.3,0.446113074204947,0.9001782531194296,0.596574128765505,1132,56,112000,31350,143350
0.35,0.4586815227483751,0.8805704099821747,0.6031746031746031,1077,67,134000,29150,163150
0.4,0.4782178217821782,0.8609625668449198,0.6148949713558243,1010,78,156000,26350,182350
0.45,0.4968017057569296,0.8306595365418895,0.6217478318879253,938,95,190000,23600,213600
0.5,0.5162037037037037,0.7950089126559715,0.6259649122807017,864,115,230000,20900,250900
